textDisplay,text_clean,text_processed,dominant_topic,sentiment_polarity,sentiment_label,likeCount
Reza cholid di up apa ada hubungan dengan demo,reza cholid hubungan demo,reza cholid di up apa ada hubungan dengan demo,5,0,Netral,0
Orang orang yang di bilang perwakilan rakyat sebenernya ada di dalam dirimu bang fer.    Makasih udah mencerdaskan dan mencerahkan ...orang orang seperti anda sangat di butuhkan untuk kita,orang orang bilang perwakilan rakyat sebenernya dirimu fer makasih mencerdaskan mencerahkan orang orang butuhkan,orang orang yang di bilang perwakilan rakyat sebenernya ada di dalam dirimu bang fer. makasih sudah mencerdaskan dan mencerahkan ...orang orang seperti kamu sangat di butuhkan untuk kita,5,1,Positif,1
Bang sumpah jaga diri lu baik baik😢,sumpah jaga,bang sumpah jaga diri kamu baik baik😢,5,1,Positif,0
"5. &quot;Kalau orang2/kelompok2 yg ter-afiliasi dengan kami dirugikan, maka kami akan marah dan berteriak. Tapi kalau orang2/kelompok2 yang ter-afiliasi dengan kami diuntungkan, maka kami akan pura2 tidak mendengar dan..&quot; Apakah berkomentar dengan kalimat ini bisa dikategorikan sbg dalang? Bukankah pernyataan ndrewstjan ini juga sebuah bentuk kepedulian publik/ sikap kritis dari ybs? ini seperti, &quot;karena sama2 satu gerbong, oknum koruptor di pihak gerbong itu gak diproses hukum. Tapi, kalo udah pecah kongsi baru diproses hukum&quot;  atau di POV lain, &quot;karena koruptornya sudah pecah kongsi dengan rezim, ketika kejahatan korupsinya diproses, ybs melakukan pembelaan diri..&quot;ini kriminalisasi&quot;, padahal ybs terbukti menerima aliran dana korupsi&quot;",quot orang kelompok ter afiliasi dirugikan marah berteriak orang kelompok ter afiliasi diuntungkan pura mendengar quot berkomentar kalimat dikategorikan dalang pernyataan ndrewstjan bentuk kepedulian publik sikap kritis ybs quot gerbong oknum koruptor gerbong diproses hukum pecah kongsi diproses hukum quot pov quot koruptornya pecah kongsi rezim kejahatan korupsinya diproses ybs pembelaan quot kriminalisasi quot ybs terbukti menerima aliran dana korupsi quot,"5. &quot;kalau orang2/kelompok2 yang ter-afiliasi dengan kami dirugikan, maka kami akan marah dan berteriak. tapi kalau orang2/kelompok2 yang ter-afiliasi dengan kami diuntungkan, maka kami akan pura2 tidak mendengar dan..&quot; apakah berkomentar dengan kalimat ini bisa dikategorikan sebagai dalang? bukankah pernyataan ndrewstjan ini juga sebuah bentuk kepedulian publik/ sikap kritis dari ybs? ini seperti, &quot;karena sama2 satu gerbong, oknum koruptor di pihak gerbong itu tidak diproses hukum. tapi, kalau sudah pecah kongsi baru diproses hukum&quot; atau di pov lain, &quot;karena koruptornya sudah pecah kongsi dengan rezim, ketika kejahatan korupsinya diproses, ybs melakukan pembelaan diri..&quot;ini kriminalisasi&quot;, padahal ybs terbukti menerima aliran dana korupsi&quot;",2,-1,Negatif,0
"jdi dalang sesungguhnya dri sisi mana nih, sya blm tangkap  point itu sorry, anyone can explain?",dalang sesungguhnya dri sisi sya tangkap point sorry anyone can explain,"jadi dalang sesungguhnya dri sisi mana nih, sya belum tangkap point itu sorry, anyone can explain?",3,-1,Negatif,0
darurat militer ga mungkin di lakukan prabowo...                      dan terlalu jauh kalau berpikir  kejadian keruruhan ini untuk meloloskan sistem darurqt militer  ....       !!!!  jalan pikiran nya terlalu jauh,darurat militer lakukan prabowo berpikir kejadian keruruhan meloloskan sistem darurqt militer jalan pikiran,darurat militer tidak mungkin di lakukan prabowo... dan terlalu jauh kalau berpikir kejadian keruruhan ini untuk meloloskan sistem darurqt militer .... !!!! jalan pikiran nya terlalu jauh,2,-1,Negatif,0
Q ikut demo gk ada yg ngajak dan  mengarahkan....tp mendidih aja denger finaikanya tunjangan DPR dan joget2 kek gtu....saya sendiri korban PHK...blom dpt kerjaan lgi kok enakkkkk bgt mereka menari2 di atas penderitaan rakyat,demo ngajak mengarahkan mendidih denger finaikanya tunjangan dpr joget kek gtu korban phk kerjaan lgi enakkkkk menari penderitaan rakyat,q ikut demo tidak ada yang ngajak dan mengarahkan....tp mendidih saja denger finaikanya tunjangan dpr dan joget2 kek gtu....saya sendiri korban phk...blom dapat kerjaan lgi kok enakkkkk sangat mereka menari2 di atas penderitaan rakyat,4,-1,Negatif,0
"Aktor nya 1 nama. Ya, rizachalid. InfoA1",aktor nama rizachalid infoa,"aktor nya 1 nama. ya, rizachalid. infoa1",4,0,Netral,1
"Ini gak ada kah orang kaya baik di Indonesia? 😂 Perasaan orkay pada jahat semua, atau diam. Gw yakin pemerintah dan kroninya ini pada songong karena berlindung di balik kekayaan mereka. Sebab mereka tau uang bakal bisa dipake buat banyak hal di negara kleptokrasi kek Indonesia ini 😂.",kah orang kaya indonesia perasaan orkay jahat diam pemerintah kroninya songong berlindung kekayaan tau uang dipake negara kleptokrasi kek indonesia,"ini tidak ada kah orang kaya baik di indonesia? 😂 perasaan orkay pada jahat semua, atau diam. saya yakin pemerintah dan kroninya ini pada songong karena berlindung di balik kekayaan mereka. sebab mereka tau uang bakal bisa dipake buat banyak hal di negara kleptokrasi kek indonesia ini 😂.",3,-1,Negatif,0
Parah toxic twiter dibawa ke dunia nyata ama genZ,parah toxic twiter dibawa dunia nyata ama genz,parah toxic twiter dibawa ke dunia nyata ama genz,2,-1,Negatif,0
Ko gue mikir plotnya agar para anggota DPR dan para mentri  pindah ke IKN karna lokasi pemerintahan di pulau jawa sudah tidak aman,mikir plotnya anggota dpr menteri pindah ikn lokasi pemerintahan pulau jawa aman,kok saya mikir plotnya agar para anggota dpr dan para menteri pindah ke ikn karena lokasi pemerintahan di pulau jawa sudah tidak aman,1,-1,Negatif,0
"Gak make sense inimah, yang ada malah di daerah makin parah",make sense inimah daerah parah,"tidak make sense inimah, yang ada malah di daerah makin parah",2,-1,Negatif,0
Rumah ketua DPR aman. Hemmmm<br>Rumah DPR yg dibeking partai aman semua,rumah ketua dpr aman hemmmm rumah dpr dibeking partai aman,rumah ketua dpr aman. hemmmm rumah dpr yang dibeking partai aman semua,4,1,Positif,1
Dasco ketawa,dasco ketawa,dasco ketawa,4,0,Netral,0
"&quot;Kalian harus mundur dari jabatan&quot;, mikir dikit donk Fer, untuk dapat jabatan itu mereka keluar modal guede. Uang dan fasilitas yg diterima nikmat banget. Enteng banget elu ngomong &quot;mundur&quot;",quot mundur jabatan quot mikir dikit donk fer jabatan modal guede uang fasilitas diterima nikmat enteng elu ngomong quot mundur quot,"&quot;kalian harus mundur dari jabatan&quot;, mikir dikit donk fer, untuk dapat jabatan itu mereka keluar modal guede. uang dan fasilitas yang diterima nikmat banget. enteng sangat elu ngomong &quot;mundur&quot;",1,1,Positif,0
"4. &quot;Sudah ada kelompok tertentu yg mengatasnamakan dirinya oposisi mau demo besar2an ke gedung dpr? Atau tiba2 jadi anyep dan gk kedengeran suaranya?  Masih yakin yg bgitu memperjuangkan kepentingan sipil2 yg ada?&quot; ... Menurut Bung Ferry, apakah salah orang mempertanyakan hal ini?? Mungkin process of thought Bung Ferry berbeda dengan process of thought ndrewstjan, mungkin juga sama. Apakah mempertanyakan hal ini juga bisa dikategorikan menjadi dalang menurut Bung Ferry?",quot kelompok mengatasnamakan oposisi demo gedung dpr anyep kedengeran suaranya bgitu memperjuangkan kepentingan sipil quot ferry salah orang process thought ferry berbeda process thought ndrewstjan dikategorikan dalang ferry,"4. &quot;sudah ada kelompok tertentu yang mengatasnamakan dirinya oposisi mau demo besar2an ke gedung dpr? atau tiba2 jadi anyep dan tidak kedengeran suaranya? masih yakin yang bgitu memperjuangkan kepentingan sipil2 yang ada?&quot; ... menurut bung ferry, apakah salah orang mempertanyakan hal ini?? mungkin process of thought bung ferry berbeda dengan process of thought ndrewstjan, mungkin juga sama. apakah mempertanyakan hal ini juga bisa dikategorikan menjadi dalang menurut bung ferry?",5,-1,Negatif,0
Sy juga mikirnya bgtu bang,mikirnya bgtu,saya juga mikirnya bgtu bang,2,-1,Negatif,1
buka gerbang DPR.,buka gerbang dpr,buka gerbang dpr.,4,0,Netral,0
Makasih bang. Maaf kmaren sempat terkecoh taktik mereka .,makasih maaf kmaren terkecoh taktik,makasih bang. maaf kmaren sempat terkecoh taktik mereka .,2,-1,Negatif,1
Terimakasih banyak bang atas kontribusimu untuk negara ini respect bang feri 🫡🫡🫡,terimakasih kontribusimu negara respect feri,terimakasih banyak bang atas kontribusimu untuk negara ini respect bang feri 🫡🫡🫡,4,1,Positif,0
Si dalang pendemo anarkhis kah???,dalang pendemo anarkhis kah,si dalang pendemo anarkhis kah???,3,-1,Negatif,0
"Bang fer, tolongin bang, gua hampir di kroyok di kira polisi gua",fer tolongin kroyok polisi,"bang fer, tolongin bang, saya hampir di kroyok di kira polisi saya",2,-1,Negatif,0
Apaan sih? Emang lu ngapain njir?,emang ngapain njir,apaan sih? emang kamu ngapain njir?,2,-1,Negatif,0
"​@aas529g ngapa²in, gua kan botak,  tiba2 mahasiswa nahan gua pas keluar dari kosan gua,nahan baju, di tnya lu polisi kan. Damn kaget gua cok mna babyak org lgii",ngapa botak mahasiswa nahan pas kosan nahan baju tnya polisi damn kaget cok mna babyak orang lgii,"​ ngapa²in, saya kan botak, tiba2 mahasiswa nahan saya pas keluar dari kosan gua,nahan baju, di tnya kamu polisi kan. damn kaget saya cok mna babyak orang lgii",4,-1,Negatif,0
"Ada yang terasa ganjil antara cara Jokowi dan Prabowo saat mengatasi situasi demo begini, dulu saat ada kisruh yang tampil era Jokowi adalah Mendagri Tito Karnavian, sekarang dia masih jadi Mendagri tapi gak sering muncul pada saat jaman Jokowi, Prabowo sekarang lebih sering bicara melalui menteri pertahanan soal situasi kisruh demo saat ini. Ada yang bisa ngasih opini atau penjelasan situasi ini ?",ganjil jokowi prabowo mengatasi situasi demo kisruh tampil era jokowi mendagri tito karnavian mendagri muncul jaman jokowi prabowo bicara menteri pertahanan situasi kisruh demo ngasih opini penjelasan situasi,"ada yang terasa ganjil antara cara jokowi dan prabowo saat mengatasi situasi demo begini, dulu saat ada kisruh yang tampil era jokowi adalah mendagri tito karnavian, sekarang dia masih jadi mendagri tapi tidak sering muncul pada saat jaman jokowi, prabowo sekarang lebih sering bicara melalui menteri pertahanan soal situasi kisruh demo saat ini. ada yang bisa ngasih opini atau penjelasan situasi ini ?",1,-1,Negatif,0
"Dalangnya mereka, tapi kompornya anda!",dalangnya kompornya,"dalangnya mereka, tapi kompornya anda!",1,-1,Negatif,0
"mari berfikir, mari sadar. hadapi masalah dengan akal sehat bkn melulu otot yang kuat. bangsa akan maju bkn dari pemerintah saja yg pintar. melainkan rakyat yang pintar. sesimple &quot;klo rakyat cerdas, masa depan bangsa jelas.&quot; that&#39;s it.",mari berfikir mari sadar hadapi akal sehat bkn melulu otot kuat bangsa maju bkn pemerintah pintar rakyat pintar sesimple quot rakyat cerdas bangsa quot that,"mari berfikir, mari sadar. hadapi masalah dengan akal sehat bkn melulu otot yang kuat. bangsa akan maju bkn dari pemerintah saja yang pintar. melainkan rakyat yang pintar. sesimple &quot;klo rakyat cerdas, masa depan bangsa jelas.&quot; that&39;s it.",3,1,Positif,0
"Apa yg terjadi kali ini adl akumulasi dr kecewanya rakyat. Diera baru ini (kelanjutan), kekacauan dimulai dg kata &quot;efisiensi&quot; tp tetap boros. Dimulai dg DanaSengsara yg himpun banyak uang negara, dilanjut kabinet gemuk, kebijakan fantastis yg terus bikin rugi, pajak yg makin banyak dn PBB naik tinggi imbas daerah tak punya duit akibat efisiensi dn diakhir dg berbagai tunjangan DPR.<br><br>Akhirnya kemarahan rakyat sampai puncak, dimulai dr pati bikin daerah lain terungkap. Demo meluas ke banyak daerah dipenjuru negeri hingga makin membesar saat &quot;aparat&quot; melindas Ojol dg panser lapis baja - bukan lapis legit.",kali adl akumulasi kecewanya rakyat diera kelanjutan kekacauan quot efisiensi quot boros danasengsara himpun uang negara dilanjut kabinet gemuk kebijakan fantastis bikin rugi pajak pbb imbas daerah duit akibat efisiensi diakhir tunjangan dpr kemarahan rakyat puncak pati bikin daerah terungkap demo meluas daerah dipenjuru negeri membesar quot aparat quot melindas ojol panser lapis baja lapis legit,"apa yang terjadi kali ini adl akumulasi dari kecewanya rakyat. diera baru ini (kelanjutan), kekacauan dimulai dengan kata &quot;efisiensi&quot; tp tetap boros. dimulai dengan danasengsara yang himpun banyak uang negara, dilanjut kabinet gemuk, kebijakan fantastis yang terus bikin rugi, pajak yang makin banyak dan pbb naik tinggi imbas daerah tak punya duit akibat efisiensi dan diakhir dengan berbagai tunjangan dpr. akhirnya kemarahan rakyat sampai puncak, dimulai dari pati bikin daerah lain terungkap. demo meluas ke banyak daerah dipenjuru negeri hingga makin membesar saat &quot;aparat&quot; melindas ojol dengan panser lapis baja - bukan lapis legit.",1,-1,Negatif,0
"Siap² km, provokator pembela asing...",provokator pembela asing,"siap² km, provokator pembela asing...",4,-1,Negatif,0
Simple aja ... Live di platform aja bisa di mute oleh negara... Kenapa cuma server judol gak bisa di mute????? TOLONG BANTU PEMAHAMAN SAYA BINGUNG DAN SEDANG PEGANGAN.,simple live platform mute negara server judol mute tolong bantu pemahaman bingung pegangan,simple saja ... live di platform saja bisa di mute oleh negara... kenapa hanya server judol tidak bisa di mute????? tolong bantu pemahaman saya bingung dan sedang pegangan.,4,-1,Negatif,1
"bang, apa bnr Indonesia saat ini sedang dalam proses &quot;Jokowi Forever&quot;? masa jabatan selamanya..",bnr indonesia proses quot jokowi forever quot jabatan,"bang, apa bnr indonesia saat ini sedang dalam proses &quot;jokowi forever&quot;? masa jabatan selamanya..",1,-1,Negatif,0
&quot;Senjata kita adalah otak&quot;,quot senjata otak quot,&quot;senjata kita adalah otak&quot;,1,-1,Negatif,0
Gue penasaran siapa sih dalang kerusuhan anarkis ini . Apa orang2 deket prabowo atooo ????? 😢😢,penasaran dalang kerusuhan anarkis orang deket prabowo atooo,saya penasaran siapa sih dalang kerusuhan anarkis ini . apa orang2 deket prabowo atooo ????? 😢😢,5,-1,Negatif,0
Nama2 akunnya apa aja bang? Pengen liat di x,nama akunnya pengen lihat,nama2 akunnya apa saja bang? pengen lihat di x,3,0,Netral,1
Aksi reaksi. Hukum lll newton.<br>Disini kita belajar reaksi kemarahan rakyat bukan semata-mata ditunggangi oleh bangsa asing atau bangsa sendiri. Reaksi ini muncul karna adanya aksi yg buruk dari para petinggi negri ini. jadi kalau memang benar-benar bahwa para petinggi pun mencintai negri ini? Jangan berikan kesempatan untuk mereka menghancurkan negri ini dengan melakukan aksi layaknya penjajah untuk bangsa sendiri.,aksi reaksi hukum lll newton belajar reaksi kemarahan rakyat mata ditunggangi bangsa asing bangsa reaksi muncul aksi buruk petinggi negri petinggi mencintai negri kesempatan menghancurkan negri aksi layaknya penjajah bangsa,aksi reaksi. hukum lll newton. disini kita belajar reaksi kemarahan rakyat bukan semata-mata ditunggangi oleh bangsa asing atau bangsa sendiri. reaksi ini muncul karena adanya aksi yang buruk dari para petinggi negri ini. jadi kalau memang benar-benar bahwa para petinggi pun mencintai negri ini? jangan berikan kesempatan untuk mereka menghancurkan negri ini dengan melakukan aksi layaknya penjajah untuk bangsa sendiri.,5,-1,Negatif,1
"DARURAT MILITER ??? Gak masuk akal pak guru !!! Narasinya sama seperti feri irwandi menggiring opini kearah militerisasi ... Kalau pemerintah mau. Sudah dari kemaren di berlakukan darurat militer, yang saya lihat langsung di lokasi demo, banyak emak emak teriak ganti preswowo dan makxulkan waxilnya, jadi siapa yang biasa pakai emak emak untuk demo, apakah militer ???",darurat militer masuk akal guru narasinya feri irwandi menggiring opini kearah militerisasi pemerintah kemaren berlakukan darurat militer lihat langsung lokasi demo emak emak teriak ganti preswowo makxulkan waxilnya pakai emak emak demo militer,"darurat militer ??? tidak masuk akal pak guru !!! narasinya sama seperti feri irwandi menggiring opini kearah militerisasi ... kalau pemerintah mau. sudah dari kemaren di berlakukan darurat militer, yang saya lihat langsung di lokasi demo, banyak emak emak teriak ganti preswowo dan makxulkan waxilnya, jadi siapa yang biasa pakai emak emak untuk demo, apakah militer ???",2,-1,Negatif,0
"Ngomong darurat militer mustahil itu justru menyesatkan. Faktanya, opsi itu selalu ada di negara mana pun kalau situasi chaos. Bedanya, masyarakat kita udah cerdas, nggak gampang diprovokasi, makanya kondisi tetap terkendali. Jadi narasi ‘mustahil’ itu bukan analisis, tapi sekadar upaya ngecilin potensi ancaman biar orang lengah.",ngomong darurat militer mustahil menyesatkan faktanya opsi negara situasi chaos bedanya masyarakat cerdas nggak gampang diprovokasi kondisi terkendali narasi mustahil analisis upaya ngecilin potensi ancaman biar orang lengah,"ngomong darurat militer mustahil itu justru menyesatkan. faktanya, opsi itu selalu ada di negara mana pun kalau situasi chaos. bedanya, masyarakat kita sudah cerdas, nggak gampang diprovokasi, makanya kondisi tetap terkendali. jadi narasi ‘mustahil’ itu bukan analisis, tapi sekadar upaya ngecilin potensi ancaman biar orang lengah.",2,1,Positif,0
"Wkwkwkw, ga ada yang mustahil. KALIAN lupa pengesahan UU KPK, UU CiptaKerja..<br><br>Bahkan hampir mau melawan MK utk membenarkan Kaesang jadi Gubernur DKI. ITUUU udah fakta nyata.....<br><br>Kita ga mau ketipu lagi. <br><br>Kan gitu, penjahat negara ini masuknya dikit-dikit... tahu2 militerisasi aja...😂",wkwkwkw mustahil lupa pengesahan kpk ciptakerja melawan membenarkan kaesang gubernur dki ituuu fakta nyata ketipu penjahat negara masuknya dikit dikit militerisasi,"wkwkwkw, tidak ada yang mustahil. kalian lupa pengesahan uu kpk, uu ciptakerja.. bahkan hampir mau melawan mk untuk membenarkan kaesang jadi gubernur dki. ituuu sudah fakta nyata..... kita tidak mau ketipu lagi. kan gitu, penjahat negara ini masuknya dikit-dikit... tahu2 militerisasi aja...😂",2,-1,Negatif,0
"itu yang mencegah kita balik harus tetap melawan aparat/pemerintah adalah gangster yang tiap malem tawuran, padahal pemerintah sampai presiden sudah mengeluarkan statement lebih peka terhadap rakyat",mencegah melawan aparat pemerintah gangster malem tawuran pemerintah presiden mengeluarkan statement peka rakyat,"itu yang mencegah kita balik harus tetap melawan aparat/pemerintah adalah gangster yang tiap malem tawuran, padahal pemerintah sampai presiden sudah mengeluarkan statement lebih peka terhadap rakyat",2,-1,Negatif,0
"Di Malaysia tol untuk motor free,,pajak kendaraan rendah,pajak 5 tahunan gak ada,BBM murah ron 95, 7500, walau UMR untuk pekerja murah tapi nilainya sangat kuat dan kualitas hidup walaupun duit sedikit kamu masih bisa makan kenyang stiap harii...kadang saya juga iri negara tetangga kita sangat sejahtera di masyarakat masih terasa...dan kerjaan memberikan bantuan kepada rakyatnya langsung transfer 😂 kita apaan",malaysia tol motor free pajak kendaraan rendah pajak tahunan bbm murah ron umr pekerja murah nilainya kuat kualitas hidup duit makan kenyang stiap harii kadang iri negara tetangga sejahtera masyarakat kerjaan bantuan rakyatnya langsung transfer,"di malaysia tol untuk motor free,,pajak kendaraan rendah,pajak 5 tahunan tidak ada,bbm murah ron 95, 7500, walau umr untuk pekerja murah tapi nilainya sangat kuat dan kualitas hidup walaupun duit sedikit kamu masih bisa makan kenyang stiap harii...kadang saya juga iri negara tetangga kita sangat sejahtera di masyarakat masih terasa...dan kerjaan memberikan bantuan kepada rakyatnya langsung transfer 😂 kita apaan",4,1,Positif,0
Terimakasih sudah menyampaikan pesan dengan bahasa yang mudah dipahami 🙏🏼,terimakasih pesan bahasa mudah dipahami,terimakasih sudah menyampaikan pesan dengan bahasa yang mudah dipahami 🙏🏼,4,1,Positif,34
"3. &quot;Uda ada dengar parpol wong cilik bicara atas nama wong cilik soal tunjangan ini?&quot; Apakah salah mempertanyakan ini.... wajar nggak sih, wajar lah. THP rakyat umumnya seberapa besar dibandingkan THP anggota dewan, lalu kalau dibandingkan dengan THP dewan di negara lain dengan rakyatnya...wajar dong mempertanyakan, kemana nich partai yang mengaku membela wong cilik tapi kok diem diem bae urusan THP anggota dewan ini... rakyat lagi susah lho... Apakah bung Ferry membungkam pertanyaan ini? lanjut maghrib dulu",quot uda dengar partai cilik bicara nama cilik tunjangan quot salah wajar nggak wajar thp rakyat dibandingkan thp anggota dewan dibandingkan thp dewan negara rakyatnya wajar kemana nich partai mengaku membela cilik diem diem bae urusan thp anggota dewan rakyat susah lho ferry membungkam maghrib,"3. &quot;uda ada dengar partai wong cilik bicara atas nama wong cilik soal tunjangan ini?&quot; apakah salah mempertanyakan ini.... wajar nggak sih, wajar lah. thp rakyat umumnya seberapa besar dibandingkan thp anggota dewan, lalu kalau dibandingkan dengan thp dewan di negara lain dengan rakyatnya...wajar dong mempertanyakan, kemana nich partai yang mengaku membela wong cilik tapi kok diem diem bae urusan thp anggota dewan ini... rakyat lagi susah lho... apakah bung ferry membungkam pertanyaan ini? lanjut maghrib dulu",4,-1,Negatif,1
"FOKUS TUJUAN AWAL DEMO, BANYAK INFLUENCER YANG BERPENGARUH DIBAYAR RATUSAN JUTA OLEH PEMERINTAH UNTUK MEREDAM AKSI DEMO DAN MENGHASUT RAKYAT.<br>HARUS PINTAR-PINTAR DALAM MENCARI INFORMASI",fokus tujuan demo influencer berpengaruh dibayar ratusan juta pemerintah meredam aksi demo menghasut rakyat pintar pintar mencari informasi,"fokus tujuan awal demo, banyak influencer yang berpengaruh dibayar ratusan juta oleh pemerintah untuk meredam aksi demo dan menghasut rakyat. harus pintar-pintar dalam mencari informasi",4,-1,Negatif,1
ousamu dazai jir keren,ousamu dazai jir keren,ousamu dazai jir keren,2,1,Positif,0
Lord batu bara bahaya ..<br>Ingin menguasai indonesia ..<br>Hati hati..,lord batu bara bahaya menguasai indonesia hati hati,lord batu bara bahaya .. ingin menguasai indonesia .. hati hati..,5,-1,Negatif,0
Cari sampai jadi tempe perampok dan yg kordinir demo,cari tempe perampok kordinir demo,cari sampai jadi tempe perampok dan yang kordinir demo,4,-1,Negatif,0
"2. &quot;ada yg denger Rocky gerung bicara soal tunjangan ini? Ada yg  tau dia kemana? Uda lama ya gk dengar dia dungu2in orang di pemerintahan sekarang+anggota dpr saat ini (emoticon)&quot; ... apakah salah orang berkomentar ini?? wajar lho... ini seperti kalo saya lihat berita misalnya Fahri Hamzah suka kritis tentang kebijakan2 pemerintah yg dianggap gak bener, lho Fahri Hamzah sekarang kemana... yah semacam itu lah",quot denger rocky gerung bicara tunjangan tau kemana uda dengar dungu orang pemerintahan anggota dpr emoticon quot salah orang berkomentar wajar lho lihat berita fahri hamzah suka kritis kebijakan pemerintah dianggap bener lho fahri hamzah kemana yah,"2. &quot;ada yang denger rocky gerung bicara soal tunjangan ini? ada yang tau dia kemana? uda lama ya tidak dengar dia dungu2in orang di pemerintahan sekarang+anggota dpr saat ini (emoticon)&quot; ... apakah salah orang berkomentar ini?? wajar lho... ini seperti kalau saya lihat berita misalnya fahri hamzah suka kritis tentang kebijakan2 pemerintah yang dianggap tidak bener, lho fahri hamzah sekarang kemana... yah semacam itu lah",4,-1,Negatif,0
Gajah tunggal VS Gajah anak...<br>Emang enak ditikam dr belakang....😂,gajah tunggal gajah anak emang enak ditikam,gajah tunggal vs gajah anak... emang enak ditikam dari belakang....😂,2,1,Positif,0
Kita sudah paham tapi anda harus terbuka kenapa tidak langsung tunjuk saja agar kita tidak berandai andai tiada tujuan saling menuduh menjadi tanpa tujuan saling menebak dan ini sama dengan provokasi mencuci otak dengan tanpa tujuan,paham terbuka langsung berandai andai tiada tujuan menuduh tujuan menebak provokasi mencuci otak tujuan,kita sudah paham tapi kamu harus terbuka kenapa tidak langsung tunjuk saja agar kita tidak berandai andai tiada tujuan saling menuduh menjadi tanpa tujuan saling menebak dan ini sama dengan provokasi mencuci otak dengan tanpa tujuan,1,-1,Negatif,0
Heraloeb itu diehard 08 kan ya,heraloeb diehard,heraloeb itu diehard 08 kan ya,4,0,Netral,0
Kita dukung penuh bang ferry utk berdialog langsung ke pusat 💪🤲,dukung penuh ferry berdialog langsung pusat,kita dukung penuh bang ferry untuk berdialog langsung ke pusat 💪🤲,4,1,Positif,2
KEBANYAKAN BACOT SEGILA ITU SAMA ADSENSE TINGGAL SEBUT SUSAH MIRIS,kebanyakan bacot segila adsense tinggal susah miris,kebanyakan bacot segila itu sama adsense tinggal sebut susah miris,5,-1,Negatif,0
itulah knp penting nya belajar ilmu hukum bre lu kaga bisa asal sebut nama orng yg belom 100% jelas dia pelaku nya kecuaki udh 100% valid dan pihak yg berwajib udh nge publish ya gpp nnti klo asal sebut nama nya kode etik,knp belajar ilmu hukum bre kaga nama orng belom pelaku kecuaki valid berwajib nge publish gpp nnti nama kode etik,itulah knp penting nya belajar ilmu hukum bre kamu kaga bisa asal sebut nama orng yang belom 100% jelas dia pelaku nya kecuaki sudah 100% valid dan pihak yang berwajib sudah nge publish ya gpp nnti kalau asal sebut nama nya kode etik,3,-1,Negatif,1
"Belajar hukum makanya, hapalin pasal per pasal",belajar hukum hapalin pasal pasal,"belajar hukum makanya, hapalin pasal per pasal",2,-1,Negatif,0
"Belajar dulu hukum blok, begini nih kalo otaknya di kontol penginnya instan",belajar hukum blok otaknya kontol penginnya instan,"belajar dulu hukum blok, begini nih kalau otaknya di kontol penginnya instan",2,-1,Negatif,0
ngomongnya cepet banget. dibikin playbacknya 0.75 baru kerasa normal.,ngomongnya cepet dibikin playbacknya kerasa normal,ngomongnya cepet banget. dibikin playbacknya 0.75 baru kerasa normal.,1,-1,Negatif,0
Jendral tak akan mundur bang mereka punya sumber daya dan sumber dana besar menggunakan semua instrumen untuk merusak tatanan bangsa.<br><br>Apalagi jendral oligarki yang selalu nempel ke presiden siapapun😊. Mereka lbh kaya dari presidennya,jendral mundur sumber daya sumber dana instrumen merusak tatanan bangsa jendral oligarki nempel presiden kaya presidennya,jendral tak akan mundur bang mereka punya sumber daya dan sumber dana besar menggunakan semua instrumen untuk merusak tatanan bangsa. apalagi jendral oligarki yang selalu nempel ke presiden siapapun😊. mereka lebih kaya dari presidennya,1,-1,Negatif,0
Wakili kami bang Ferry jika di undang diskusi dengan Presiden,wakili ferry undang diskusi presiden,wakili kami bang ferry jika di undang diskusi dengan presiden,5,0,Netral,0
Up comment biar FYP terus..,comment biar fyp,up comment biar fyp terus..,3,-1,Negatif,0
MEMPERKERUH AJA LU !!! SOK TAU BANGET,memperkeruh sok tau,memperkeruh saja kamu !!! sok tau sangat,4,-1,Negatif,0
Terimakasih bang mau member bagi ilmu,terimakasih member ilmu,terimakasih bang mau member bagi ilmu,1,1,Positif,3
Setuju bg<br> intinya kita gausah terpancing dengan isu yg beredar dan saling mengingatkan di media sosial akan pentingnya kedamaian.<br>Apapun peraturan yg dibuat oleh elit politik kita harus tunduk dan jangan pernah mengoreksi apalagi sampai turun kejalan .<br>Kita cukup jalani saja rutinitas harian tanpa peduli dengan apa yg terjadi .<br>Love peace ❤,setuju intinya gausah terpancing isu beredar media sosial kedamaian apapun peraturan elit politik tunduk mengoreksi turun kejalan jalani rutinitas harian peduli love peace,setuju bg intinya kita gausah terpancing dengan isu yang beredar dan saling mengingatkan di media sosial akan pentingnya kedamaian. apapun peraturan yang dibuat oleh elit politik kita harus tunduk dan jangan pernah mengoreksi apalagi sampai turun kejalan . kita cukup jalani saja rutinitas harian tanpa peduli dengan apa yang terjadi . love peace ❤,2,1,Positif,0
"Bang, Siapa Riza Calid? <br><br>Ada pernyataan Rapat di DPR itu, formalitas saja, <br>Hasil nya di loby loby sebelah mana, <br><br>Gua cuman kinta pandanan bang ferr",riza calid pernyataan rapat dpr formalitas hasil loby loby sebelah cuman kinta pandanan ferr,"bang, siapa riza calid? ada pernyataan rapat di dpr itu, formalitas saja, hasil nya di loby loby sebelah mana, saya cuman kinta pandanan bang ferr",1,-1,Negatif,0
Klu rumah jokowi aman aja fixs ini sekenario geng solo,rumah jokowi aman fixs sekenario geng solo,kalau rumah jokowi aman saja fixs ini sekenario geng solo,1,0,Netral,0
